-0,4397441290061792 304,1609081125971
-0,21522880351358253 613,7298496129715
-0,20790883913012337 1601,9250413796508
-0,1375497784891344 1100,3982279131014
-0,1304483205051845 2059,0950557464475
-0,11449735334123545 4212,475622879805
-0,05266004228099064 2560,5126160132404
-0,04413829270025005 3710,9488094132557
-0,03692758151654374 4684,3948192132675
-0,032229693927163794 5318,6096437799415
0,0252374891429632 3076,6793582467044
0,04654186309481645 5952,76984174674
0,125422673316546 6601,679221680205
0,12979280130667092 7191,646500346878
0,20812734552962908 7766,80997044701
0,2114049415222219 8209,285429447014
0,2139177651165447 8548,516614680351
0,3642501679767953 8843,391000813936
1,1030203047071758 8577,359459415167
1,8421182010368113 8355,575463916399
2,7293634362316403 8133,6822152178775
3,3942784099289334 7897,203664352319
4,28130513872425 7645,812051720464
5,167894854720558 7335,423711221942
6,202959669181315 7069,173663423667
7,163841561009715 6788,229060258602
8,198687869070962 6492,480648526993
9,159242001300118 6167,288499461927
10,342235648226552 5871,430834530566
11,30344529965421 5634,733777265501
12,486548199780398 5353,625294300806
13,299392005943371 5087,539126302161
14,26082016377055 4880,34043297043
15,443923063896737 4599,231950005736
16,627025964022916 4318,12346704104
17,73616444791627 4051,818792642889
18,845193678609863 3770,764936278071
20,17655317080099 3504,2963820802897
21,360093083726188 3282,1846269822627
22,46923156761954 3015,8799525841105
23,948738398675847 2749,302145186577
25,502428152364505 2497,418893155833
27,056117906053178 2245,5356411250887
28,906211590671955 2008,1830646615053
30,60870420242433 1844,6856512310096
32,45934415304188 1681,0789846007592
34,23634744702585 1576,523672437057
36,235571749307596 1471,804480473722
38,383271150053815 1411,2235812106337
40,75330081229754 1365,2279841145846
43,04936605830842 1334,0361955850767
45,19750247185364 1332,4520241886567
47,04923495446873 1316,3371772250775
48,90118594348331 1329,7206941948298
51,3453985283594 1298,4196524655708
53,6416822807698 1296,726227869398
55,567706939216976 1310,0551182392737
57,49351309126466 1293,8856446758182
59,71583242744221 1306,9960286461883
