-0,29181529654049854 274,5532909795111
0,8940189335795168 362,1743571814877
1,9318150780340986 464,653858549882
3,3397610632521406 537,361862985561
5,48888075559513 668,5203292891456
6,9712281698450305 785,4212530249479
8,156843893565533 843,5439552935914
10,083196311611974 901,1203915634687
11,565106713062857 959,0245874326029
13,787972315239184 1045,8808812363077
15,640251063853032 1103,5119441060633
17,2703088041691 1161,3068867754464
18,826074368653078 1189,6580921113728
20,529987272002234 1217,900044247548
22,23379092215163 1231,3928144170532
24,678440519826726 1259,0885005544587
26,900869109204034 1286,9480664914954
28,752820098218624 1300,3315834612513
30,678844756665814 1313,660473831127
32,9751285090762 1311,9670492349542
35,04908199998907 1295,688322471744
37,34569351199873 1338,2424437755708
39,2714996640464 1322,0729702121134
41,56767416325705 1305,630363649274
44,086288177164974 1318,5222412201383
46,38257192957538 1316,8288166239654
48,82700302085097 1315,0261388280396
50,604880340432956 1328,46428239767
52,38264840681521 1327,1532440006322
54,530784820360424 1325,5690726042121
56,53066464184069 1309,3449724408783
58,38250637765553 1307,9793074439658
59,567466582177516 1277,606917912608
